Model,Make,YOM,Used,Transmission,Mileage,Location,Price,Age,Fuel_Type
Lafesta,Nissan,2013,Foreign Used,Automatic,70,Mombasa,880000,11,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,58000,Mombasa,1200000,10,Petrol
Advan,Nissan,2014,Foreign Used,Automatic,96580,Nairobi,685000,10,Petrol
Serena,Nissan,2014,Foreign Used,Automatic,75000,Nairobi,1290000,10,Petrol
Wingroad,Nissan,2014,Foreign Used,Automatic,118000,Nairobi,880000,10,Petrol
March,Nissan,2014,Foreign Used,Automatic,63200,Mombasa,599000,10,Petrol
March,Nissan,2013,Foreign Used,Automatic,53753,Mombasa,530000,11,Petrol
Lafesta,Nissan,2013,Foreign Used,Automatic,70,Mombasa,890000,11,Petrol
Wingroad,Nissan,2012,Foreign Used,Automatic,77653,Mombasa,730000,12,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,62558,Mombasa,1350000,10,Petrol
X-Trail,Nissan,2015,Foreign Used,Automatic,48907,Mombasa,2495000,9,Petrol
March,Nissan,2014,Foreign Used,Automatic,115000,Nairobi,665000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,41000,Nairobi,880000,10,Petrol
Fuga,Nissan,2014,Foreign Used,Automatic,97163,Nairobi,1895000,10,Petrol
Latio,Nissan,2014,Foreign Used,Automatic,90000,Nairobi,810000,10,Petrol
Wingroad,Nissan,2014,Foreign Used,Automatic,85000,Mombasa,730000,10,Petrol
Wingroad,Nissan,2014,Foreign Used,Automatic,118000,Nairobi,880000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,63012,Mombasa,750000,10,Petrol
Juke,Nissan,2014,Foreign Used,Automatic,135624,Nairobi,1350000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,59000,Nairobi,1180000,10,Petrol
X-Trail,Nissan,2015,Foreign Used,Automatic,116524,Nairobi,2345000,9,Petrol
Serena,Nissan,2012,Foreign Used,Automatic,71300,Mombasa,880000,12,Petrol
Serena,Nissan,2015,Foreign Used,Automatic,68000,Mombasa,1290000,9,Petrol
Note,Nissan,2014,Foreign Used,Automatic,57876,Nairobi,770000,10,Petrol
Serena,Nissan,2014,Foreign Used,Automatic,55000,Mombasa,1250000,10,Petrol
Note,Nissan,2015,Foreign Used,Automatic,85000,Nairobi,800000,9,Petrol
Bluebird,Nissan,2014,Foreign Used,Automatic,58000,Mombasa,1199000,10,Petrol
Sylphy,Nissan,2014,Foreign Used,Automatic,80000,Nairobi,1250000,10,Petrol
Tiida,Nissan,2014,Foreign Used,Automatic,78000,Mombasa,800000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,57000,Mombasa,2100000,10,Petrol
Latio,Nissan,2014,Foreign Used,Automatic,35000,Nairobi,850000,10,Petrol
Fuga,Nissan,2015,Foreign Used,Automatic,62396,Mombasa,2300000,9,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,50000,Mombasa,1980000,10,Petrol
March,Nissan,2013,Foreign Used,Automatic,110000,Nairobi,699000,11,Petrol
Fuga,Nissan,2014,Foreign Used,Automatic,65475,Mombasa,1750000,10,Petrol
X-Trail,Nissan,2014,Foreign Used,Automatic,93000,Nairobi,2200000,10,Petrol
Note,Nissan,2014,Foreign Used,Automatic,70000,Mombasa,730000,10,Petrol
Teana,Nissan,2014,Foreign Used,Automatic,109000,Nairobi,1390000,10,Petrol
Fuga,Nissan,2014,Foreign Used,Automatic,80563,Mombasa,1700000,10,Petrol
Advan,Nissan,2014,Foreign Used,Automatic,65000,Mombasa,670000,10,Petrol
Note,Nissan,2015,Foreign Used,Automatic,102745,Nairobi,800000,9,Petrol
Fuga,Nissan,2014,Foreign Used,Automatic,79200,Mombasa,1500000,10,Petrol
