Model,Make,YOM,Used,Transmission,Mileage,Location,Price,Age,Fuel_Type
Forester,Subaru,2014,Foreign Used,Automatic,85000,Mombasa,2400000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,57435,Nairobi,2900000,10,Petrol
Levorg,Subaru,2014,Foreign Used,Automatic,64000,Mombasa,2300000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,86500,Mombasa,1250000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,69563,Mombasa,1300000,10,Petrol
Forester,Subaru,2015,Foreign Used,Automatic,80000,Mombasa,2550000,9,Petrol
Outback,Subaru,2015,Foreign Used,Automatic,93000,Nairobi,3650000,9,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,89633,Mombasa,2900000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,75000,Mombasa,1450000,10,Petrol
Levorg,Subaru,2015,Foreign Used,Automatic,136845,Mombasa,2250000,9,Petrol
Outback,Subaru,2015,Foreign Used,Automatic,87000,Nairobi,3550000,9,Petrol
Legacy,Subaru,2009,Kenyan Used,Automatic,122000,Nairobi,590000,15,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,43000,Mombasa,1750000,10,Petrol
Legacy,Subaru,2002,Kenyan Used,Automatic,199800,Nairobi,490000,22,Petrol
Legacy,Subaru,2015,Foreign Used,Automatic,63000,Mombasa,2500000,9,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,75000,Nairobi,2880000,10,Petrol
Outback,Subaru,2015,Foreign Used,Automatic,63128,Mombasa,3500000,9,Petrol
Forester,Subaru,2014,Foreign Used,CVT,53338,Nairobi,2715000,10,Petrol
Impreza,Subaru,2002,Foreign Used,Manual,235000,Nairobi,490000,22,Petrol
Outback,Subaru,2014,Foreign Used,Automatic,125000,Nairobi,2480000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,78000,Mombasa,1250000,10,Petrol
Legacy,Subaru,2014,Foreign Used,Automatic,112311,Mombasa,1850000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,137000,Nairobi,2370000,10,Petrol
Legacy,Subaru,2014,Foreign Used,Automatic,98000,Nairobi,1710000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,63000,Mombasa,1450000,10,Petrol
Legacy,Subaru,2013,Foreign Used,Automatic,76353,Nairobi,1650000,11,Petrol
Forester,Subaru,2003,Kenyan Used,Automatic,155000,Nairobi,750000,21,Petrol
Outback,Subaru,2011,Kenyan Used,Automatic,106000,Nairobi,1495000,13,Petrol
Forester,Subaru,2014,Foreign Used,AMT,50000,Nairobi,2670000,10,Petrol
Outback,Subaru,2015,Foreign Used,Automatic,87000,Mombasa,3380000,9,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,79000,Mombasa,1300000,10,Petrol
Outback,Subaru,2014,Brand New,Automatic,105000,Mombasa,3600000,10,Petrol
Legacy,Subaru,2014,Foreign Used,Automatic,85000,Mombasa,1800000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,115347,Nairobi,1450000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,89631,Mombasa,2700000,10,Petrol
Legacy,Subaru,2006,Kenyan Used,Manual,98236,Mombasa,600000,18,Petrol
Outback,Subaru,2013,Foreign Used,Automatic,75000,Mombasa,2300000,11,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,64000,Nairobi,2400000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,89653,Nairobi,1400000,10,Petrol
Legacy,Subaru,2004,Kenyan Used,Automatic,121300,Nairobi,590000,20,Petrol
XV,Subaru,2014,Foreign Used,Automatic,105000,Mombasa,2000000,10,Petrol
Outback,Subaru,2015,Foreign Used,Automatic,91000,Nairobi,3290000,9,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,65000,Mombasa,1250000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,85000,Nairobi,2555000,10,Petrol
XV,Subaru,2014,Foreign Used,Automatic,63125,Mombasa,1900000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,78000,Mombasa,2700000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,75107,Mombasa,2800000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,141705,Mombasa,2800000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,83000,Mombasa,2500000,10,Petrol
Forester,Subaru,2013,Foreign Used,Automatic,754213,Nairobi,2085000,11,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,74000,Nairobi,2450000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,102115,Mombasa,3000000,10,Petrol
Forester,Subaru,2013,Foreign Used,Manual,68000,Mombasa,2400000,11,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,55000,Mombasa,1300000,10,Petrol
Legacy,Subaru,2014,Foreign Used,Automatic,93000,Mombasa,2000000,10,Petrol
Forester,Subaru,2013,Foreign Used,Automatic,133538,Mombasa,2100000,11,Petrol
Outback,Subaru,2014,Foreign Used,Automatic,83994,Nairobi,3490000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,70000,Nairobi,2790000,10,Petrol
XV,Subaru,2014,Foreign Used,Automatic,73101,Mombasa,1850000,10,Petrol
Legacy,Subaru,2014,Foreign Used,Automatic,106000,Mombasa,1700000,10,Petrol
Outback,Subaru,2015,Foreign Used,Automatic,75000,Mombasa,3400000,9,Petrol
Levorg,Subaru,2015,Foreign Used,Automatic,43000,Mombasa,2000000,9,Petrol
XV,Subaru,2014,Foreign Used,Automatic,86859,Nairobi,1900000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,92000,Mombasa,2300000,10,Petrol
Legacy,Subaru,2003,Kenyan Used,Automatic,123456,Nairobi,590000,21,Petrol
XV,Subaru,2014,Foreign Used,Automatic,12000,Mombasa,1800000,10,Petrol
Forester,Subaru,2014,Foreign Used,CVT,77281,Mombasa,2700000,10,Petrol
XV,Subaru,2014,Foreign Used,Automatic,63125,Mombasa,2100000,10,Petrol
Legacy,Subaru,2013,Foreign Used,Automatic,94000,Nairobi,1570000,11,Petrol
XV,Subaru,2014,Foreign Used,Automatic,85000,Mombasa,1900000,10,Petrol
Outback,Subaru,2014,Kenyan Used,Automatic,121000,Kiambu,1400000,10,Petrol
Outback,Subaru,2014,Foreign Used,Automatic,88000,Mombasa,2300000,10,Petrol
Legacy,Subaru,2014,Foreign Used,Automatic,63125,Mombasa,2200000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,127000,Nairobi,2400000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,159711,Nairobi,1380000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,63124,Mombasa,2800000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,72000,Nairobi,2500000,10,Petrol
Outback,Subaru,2015,Foreign Used,Automatic,82000,Mombasa,3300000,9,Petrol
XV,Subaru,2014,Foreign Used,Automatic,75000,Mombasa,1800000,10,Petrol
Forester,Subaru,2014,Kenyan Used,Automatic,90000,Nairobi,2700000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,72000,Nairobi,2600000,10,Petrol
Forester,Subaru,2013,Foreign Used,Automatic,80000,Mombasa,2300000,11,Petrol
Outback,Subaru,2009,Kenyan Used,Automatic,119415,Nairobi,1380000,15,Petrol
Impreza,Subaru,2013,Foreign Used,Automatic,98000,Mombasa,1380000,11,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,87000,Mombasa,2750000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,59000,Nairobi,2500000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,92000,Nairobi,2570000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,94901,Nairobi,2400000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,51380,Nakuru,1400000,10,Petrol
Forester,Subaru,2013,Foreign Used,Automatic,85000,Mombasa,2500000,11,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,55000,Mombasa,2400000,10,Petrol
Legacy,Subaru,2014,Foreign Used,Automatic,89000,Nairobi,1745000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,84000,Mombasa,1300000,10,Petrol
Impreza,Subaru,2013,Kenyan Used,Automatic,140000,Mombasa,985000,11,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,97000,Nairobi,1270000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,87000,Mombasa,1330000,10,Petrol
Impreza,Subaru,2012,Kenyan Used,Automatic,62583,Mombasa,890000,12,Petrol
Outback,Subaru,2015,Foreign Used,Automatic,78000,Nairobi,3450000,9,Petrol
XV,Subaru,2014,Foreign Used,Automatic,71008,Mombasa,1900000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,71523,Mombasa,1400000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,88000,Mombasa,1250000,10,Petrol
Impreza,Subaru,2015,Foreign Used,Automatic,32485,Nairobi,1600000,9,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,98000,Mombasa,2700000,10,Petrol
Impreza,Subaru,2015,Foreign Used,Automatic,32455,Nairobi,2850000,9,Petrol
Legacy,Subaru,2014,Foreign Used,Automatic,85000,Mombasa,1500000,10,Petrol
Outback,Subaru,2015,Foreign Used,Automatic,81000,Nairobi,3495000,9,Petrol
Outback,Subaru,2012,Kenyan Used,Automatic,114123,Mombasa,1530000,12,Petrol
Legacy,Subaru,2007,Kenyan Used,Automatic,169800,Nairobi,650000,17,Petrol
Forester,Subaru,2007,Kenyan Used,Automatic,127325,Nairobi,880000,17,Petrol
Legacy,Subaru,2003,Kenyan Used,Automatic,170000,Nairobi,350000,21,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,52863,Mombasa,1300000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,90000,Nairobi,1290000,10,Petrol
Impreza,Subaru,2004,Kenyan Used,Automatic,123541,Mombasa,420000,20,Petrol
Impreza,Subaru,2007,Kenyan Used,Automatic,127000,Nairobi,530000,17,Petrol
Legacy,Subaru,2001,Kenyan Used,Automatic,182000,Kiambu,410000,23,Petrol
Legacy,Subaru,2010,Kenyan Used,Automatic,85236,Mombasa,680000,14,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,44000,Nairobi,1200000,10,Petrol
Forester,Subaru,2010,Kenyan Used,Automatic,76328,Mombasa,1350000,14,Petrol
Impreza,Subaru,2012,Kenyan Used,Automatic,161258,Mombasa,850000,12,Petrol
Impreza,Subaru,2009,Kenyan Used,Manual,135000,Mombasa,1550000,15,Petrol
Forester,Subaru,2016,Foreign Used,Automatic,65000,Mombasa,3100000,8,Petrol
Forester,Subaru,2015,Foreign Used,Automatic,89665,Mombasa,2800000,9,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,45632,Mombasa,1330000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,86533,Mombasa,1250000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,69853,Mombasa,2500000,10,Petrol
Forester,Subaru,2015,Foreign Used,Automatic,58632,Mombasa,2450000,9,Petrol
Forester,Subaru,2015,Foreign Used,Automatic,78000,Mombasa,2650000,9,Petrol
Outback,Subaru,2015,Foreign Used,Automatic,65254,Mombasa,3100000,9,Petrol
Outback,Subaru,2015,Foreign Used,Automatic,69537,Mombasa,3400000,9,Petrol
Legacy,Subaru,2014,Foreign Used,Automatic,132224,Mombasa,1900000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,53221,Mombasa,1250000,10,Petrol
Forester,Subaru,2015,Foreign Used,Automatic,85632,Mombasa,2500000,9,Petrol
XV,Subaru,2014,Foreign Used,Automatic,158000,Mombasa,2000000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,56325,Mombasa,2600000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,85633,Mombasa,2450000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,96532,Mombasa,2400000,10,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,89653,Mombasa,2300000,10,Petrol
Forester,Subaru,2016,Foreign Used,Automatic,56332,Mombasa,2900000,8,Petrol
Forester,Subaru,2014,Foreign Used,Automatic,89653,Mombasa,2550000,10,Petrol
Impreza,Subaru,2014,Foreign Used,Automatic,78542,Mombasa,1200000,10,Petrol
Axela,Mazda,2007,Kenyan Used,Automatic,116000,Nairobi,650000,17,Petrol
CX-5,Mazda,2017,Foreign Used,Automatic,62000,Nairobi,3400000,7,Petrol
CX-5,Mazda,2013,Kenyan Used,Automatic,100000,Nairobi,650000,11,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,130000,Nairobi,1500000,10,Petrol
Axela,Mazda,2015,Foreign Used,Automatic,40767,Mombasa,1670000,9,Petrol
Atenza,Mazda,2014,Foreign Used,CVT,90000,Nairobi,1565000,10,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,112567,Mombasa,1675000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,67000,Nairobi,1490000,10,Petrol
Axela,Mazda,2016,Foreign Used,Automatic,23000,Mombasa,1550000,8,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,80000,Nairobi,1600000,10,Petrol
CX-5,Mazda,2012,Kenyan Used,Automatic,110000,Nairobi,1600000,12,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,78000,Nairobi,1750000,10,Petrol
Demio,Mazda,2015,Foreign Used,Automatic,72000,Mombasa,960000,9,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,136000,Mombasa,1540000,10,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,75000,Nairobi,1950000,10,Petrol
Axela,Mazda,2013,Foreign Used,Automatic,97814,Mombasa,980000,11,Petrol
Axela,Mazda,2014,Brand New,Automatic,52341,Mombasa,1250000,10,Petrol
Demio,Mazda,2015,Foreign Used,Automatic,52387,Mombasa,930000,9,Petrol
Atenza,Mazda,2015,Foreign Used,Automatic,61959,Mombasa,1900000,9,Petrol
Atenza,Mazda,2015,Foreign Used,Automatic,85000,Mombasa,1700000,9,Petrol
Demio,Mazda,2016,Foreign Used,AMT,70000,Mombasa,1499991,8,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,112078,Nairobi,1680000,10,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,136000,Nairobi,1580000,10,Petrol
Demio,Mazda,2013,Foreign Used,Automatic,94000,Nairobi,750000,11,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,53262,Mombasa,2100000,8,Petrol
Demio,Mazda,2006,Kenyan Used,Automatic,273533,Nairobi,500000,18,Petrol
Axela,Mazda,2015,Foreign Used,Automatic,65874,Mombasa,1400000,9,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,87673,Nairobi,1600000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,100000,Nairobi,1450000,10,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,85700,Nairobi,1950000,10,Petrol
Axela,Mazda,2015,Foreign Used,Automatic,88000,Mombasa,1330000,9,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,42000,Nairobi,2099999,10,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,59807,Mombasa,700000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,80000,Nairobi,1280000,10,Petrol
Axela,Mazda,2009,Kenyan Used,AMT,155000,Nairobi,645000,15,Petrol
Demio,Mazda,2007,Kenyan Used,Automatic,150000,Nairobi,400000,17,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,65232,Mombasa,2150000,10,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,80000,Nairobi,1610000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,52134,Mombasa,1350000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,80000,Nairobi,1280000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,100000,Nairobi,1450000,10,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,37000,Nairobi,2099999,8,Petrol
Axela,Mazda,2015,Foreign Used,Automatic,36852,Mombasa,1400000,9,Petrol
CX-5,Mazda,2015,Foreign Used,Automatic,126000,Nairobi,2520000,9,Petrol
Atenza,Mazda,2013,Foreign Used,Automatic,84000,Nairobi,1445000,11,Petrol
Demio,Mazda,2014,Kenyan Used,Automatic,105000,Mombasa,600000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,23651,Mombasa,1500000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,65231,Mombasa,1450000,10,Petrol
Premacy,Mazda,2010,Foreign Used,Automatic,162500,Nairobi,595000,14,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,50000,Mombasa,1970000,10,Petrol
Atenza,Mazda,2014,Foreign Used,AMT,76000,Nairobi,1700000,10,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,81290,Mombasa,1800000,8,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,136000,Nairobi,1580000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,107000,Nairobi,1350000,10,Petrol
Atenza,Mazda,2015,Foreign Used,Automatic,102000,Mombasa,1900000,9,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,52000,Mombasa,900000,10,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,63125,Mombasa,930000,10,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,58636,Mombasa,2150000,8,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,130000,Nairobi,1000000,10,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,108000,Nairobi,1790000,10,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,74000,Nairobi,2150000,8,Petrol
Verisa,Mazda,2014,Foreign Used,Automatic,50936,Mombasa,980000,10,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,57000,Nairobi,1650000,10,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,47000,Nairobi,1980000,8,Petrol
Atenza,Mazda,2013,Foreign Used,Automatic,23874,Mombasa,1550000,11,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,75000,Nairobi,1580000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,107000,Nairobi,1350000,10,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,73820,Nairobi,2150000,8,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,74000,Nairobi,1460000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,87000,Mombasa,1380000,10,Petrol
Axela,Mazda,2014,Foreign Used,Manual,78000,Mombasa,1410000,10,Petrol
Demio,Mazda,2015,Foreign Used,Automatic,89654,Mombasa,950000,9,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,74525,Mombasa,1800000,8,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,78000,Nairobi,1750000,10,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,108000,Nairobi,1790000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,77500,Mombasa,1400000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,139200,Nairobi,1450000,10,Petrol
CX-5,Mazda,2013,Foreign Used,Automatic,149000,Nairobi,1799000,11,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,70665,Mombasa,1340000,10,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,69083,Mombasa,2350000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,77500,Mombasa,1400000,10,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,70000,Nairobi,2000000,8,Petrol
Demio,Mazda,2015,Foreign Used,Automatic,78885,Mombasa,950000,9,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,73820,Nairobi,2150000,8,Petrol
Axela,Mazda,2015,Foreign Used,Automatic,68866,Mombasa,1400000,9,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,53262,Mombasa,2100000,8,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,80000,Nairobi,2000000,10,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,85090,Mombasa,950000,10,Petrol
CX-5,Mazda,2013,Kenyan Used,Automatic,105680,Mombasa,1450000,11,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,74000,Nairobi,1460000,10,Petrol
CX-5,Mazda,2012,Kenyan Used,Automatic,153000,Nairobi,1540000,12,Petrol
CX-5,Mazda,2015,Foreign Used,Automatic,88462,Mombasa,2800000,9,Petrol
Verisa,Mazda,2012,Kenyan Used,Automatic,94858,Nairobi,670000,12,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,95000,Nairobi,940000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,71000,Nairobi,1480000,10,Petrol
Demio,Mazda,2004,Kenyan Used,Automatic,146000,Nairobi,360000,20,Petrol
Atenza,Mazda,2015,Foreign Used,Automatic,108563,Mombasa,1900000,9,Petrol
Demio,Mazda,2015,Foreign Used,Automatic,100000,Nairobi,1175000,9,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,65000,Mombasa,940000,10,Petrol
Atenza,Mazda,2015,Foreign Used,Automatic,78246,Mombasa,1900000,9,Petrol
CX-5,Mazda,2013,Kenyan Used,Automatic,87412,Mombasa,1700000,11,Petrol
Demio,Mazda,2014,Foreign Used,Manual,59000,Mombasa,1100000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,89000,Mombasa,1300000,10,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,72884,Mombasa,950000,10,Petrol
Axela,Mazda,2011,Kenyan Used,Automatic,92000,Mombasa,780000,13,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,126000,Nairobi,1540000,10,Petrol
Demio,Mazda,2014,Foreign Used,Manual,176000,Nairobi,1070000,10,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,86200,Mombasa,1980000,10,Petrol
Demio,Mazda,2010,Kenyan Used,Automatic,105412,Mombasa,530000,14,Petrol
CX-5,Mazda,2012,Kenyan Used,Automatic,88000,Nairobi,1500000,12,Petrol
Demio,Mazda,2015,Foreign Used,Manual,76246,Mombasa,950000,9,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,75000,Nairobi,1250000,10,Petrol
Axela,Mazda,2014,Foreign Used,CVT,134000,Nairobi,1350000,10,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,59807,Mombasa,700000,10,Petrol
CX-5,Mazda,2013,Kenyan Used,Automatic,93106,Nairobi,1700000,11,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,58231,Mombasa,1300000,10,Petrol
Axela,Mazda,2016,Foreign Used,Automatic,86000,Mombasa,1400000,8,Petrol
Atenza,Mazda,2015,Foreign Used,Automatic,120000,Nairobi,1700000,9,Petrol
CX-5,Mazda,2014,Kenyan Used,Automatic,104000,Kiambu,1800000,10,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,68185,Mombasa,2000000,10,Petrol
Demio,Mazda,2015,Foreign Used,Automatic,89654,Mombasa,950000,9,Petrol
Axela,Mazda,2015,Foreign Used,Automatic,59106,Mombasa,1370000,9,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,70000,Mombasa,1340000,10,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,52000,Mombasa,620000,10,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,75132,Mombasa,1800000,10,Petrol
Demio,Mazda,2015,Foreign Used,Automatic,89654,Mombasa,950000,9,Petrol
Demio,Mazda,2015,Foreign Used,Automatic,83000,Nairobi,920000,9,Petrol
CX-5,Mazda,2013,Kenyan Used,Automatic,93106,Nairobi,1700000,11,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,90000,Nairobi,2050000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,115000,Nairobi,1350000,10,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,87500,Mombasa,930000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,68000,Mombasa,1340000,10,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,65853,Mombasa,1000000,10,Petrol
CX-5,Mazda,2012,Kenyan Used,Automatic,153000,Nairobi,1540000,12,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,88000,Mombasa,900000,10,Petrol
Axela,Mazda,2015,Foreign Used,Automatic,56436,Mombasa,1550000,9,Petrol
Premacy,Mazda,2014,Foreign Used,Automatic,98000,Mombasa,1100000,10,Petrol
Axela,Mazda,2014,Foreign Used,Manual,106524,Mombasa,1450000,10,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,56325,Mombasa,800000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,150000,Nairobi,1480000,10,Petrol
Premacy,Mazda,2010,Foreign Used,Automatic,162500,Nairobi,595000,14,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,131000,Nairobi,2050000,10,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,131000,Nairobi,1940000,10,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,74357,Nairobi,1370000,10,Petrol
Axela,Mazda,2007,Kenyan Used,Automatic,116000,Nairobi,650000,17,Petrol
Axela,Mazda,2014,Foreign Used,Manual,63256,Mombasa,1500000,10,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,65852,Mombasa,2300000,8,Petrol
Demio,Mazda,2012,Brand New,Automatic,85000,Mombasa,690000,12,Petrol
CX-5,Mazda,2016,Kenyan Used,Automatic,20000,Nairobi,3250000,8,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,131000,Nairobi,2000000,10,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,89654,Mombasa,1800000,10,Petrol
Axela,Mazda,2007,Kenyan Used,Automatic,98000,Kiambu,560000,17,Petrol
Demio,Mazda,2015,Foreign Used,Automatic,46100,Mombasa,950000,9,Petrol
CX-5,Mazda,2017,Foreign Used,Automatic,62568,Nairobi,3350000,7,Petrol
Demio,Mazda,2011,Kenyan Used,Automatic,120000,Nairobi,550000,13,Petrol
Demio,Mazda,2015,Foreign Used,Automatic,85000,Mombasa,920000,9,Petrol
Axela,Mazda,2014,Foreign Used,Manual,106524,Mombasa,1450000,10,Petrol
Atenza,Mazda,2013,Foreign Used,Automatic,63258,Mombasa,1650000,11,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,73000,Nairobi,765000,10,Petrol
CX-3,Mazda,2016,Foreign Used,Automatic,98000,Mombasa,2195000,8,Petrol
Axela,Mazda,2014,Foreign Used,CVT,134000,Nairobi,1350000,10,Petrol
CX-5,Mazda,2015,Foreign Used,Automatic,89679,Mombasa,2055000,9,Petrol
Atenza,Mazda,2015,Foreign Used,Automatic,67158,Mombasa,1820000,9,Petrol
Demio,Mazda,2014,Kenyan Used,Automatic,89230,Nairobi,750000,10,Petrol
Axela,Mazda,2010,Kenyan Used,Automatic,78000,Nairobi,750000,14,Petrol
Atenza,Mazda,2015,Foreign Used,Automatic,110557,Nairobi,1745000,9,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,130000,Nairobi,1000000,10,Petrol
Demio,Mazda,2014,Foreign Used,Automatic,73000,Nairobi,765000,10,Petrol
CX-5,Mazda,2014,Foreign Used,Automatic,45000,Nairobi,2300000,10,Petrol
Atenza,Mazda,2014,Foreign Used,Automatic,52000,Nairobi,1520000,10,Petrol
CX-5,Mazda,2016,Foreign Used,Automatic,56000,Mombasa,2500000,8,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,116170,Nairobi,1400000,10,Petrol
Axela,Mazda,2007,Kenyan Used,Automatic,110000,Nairobi,580000,17,Petrol
Axela,Mazda,2014,Foreign Used,Automatic,45000,Mombasa,1500000,10,Petrol
Atenza,Mazda,2012,Foreign Used,Automatic,75361,Nairobi,1030000,12,Petrol
